ID,Palavra,Imagem,Audio
5534eb40,Dedo,Palavras_Images/5534eb40.Imagem.223229.png,Palavras_Files_/5534eb40.Audio.194606
19a5746c,Dinossauro,Palavras_Images/19a5746c.Imagem.223252.png,Palavras_Files_/19a5746c.Audio.194623
3cafc093,Dominó,Palavras_Images/3cafc093.Imagem.223607.png,Palavras_Files_/3cafc093.Audio.194645
2b27cab3,Danone,Palavras_Images/2b27cab3.Imagem.223338.png,Palavras_Files_/2b27cab3.Audio.194703
ea4bef38,Dinheiro,Palavras_Images/ea4bef38.Imagem.015052.png,Palavras_Files_/ea4bef38.Audio.194720
5dff59c4,Dentes,,Palavras_Files_/5dff59c4.Audio.194734
a4890231,Dois,,Palavras_Files_/a4890231.Audio.194757
33dd0574,Doces,,Palavras_Files_/33dd0574.Audio.194820
a01defa2,Duende,Palavras_Images/a01defa2.Imagem.223430.png,Palavras_Files_/a01defa2.Audio.194836
775cd6ef,Disco,Palavras_Images/775cd6ef.Imagem.041736.png,Palavras_Files_/775cd6ef.Audio.041736
4805db8b,Ducha,Palavras_Images/4805db8b.Imagem.015144.png,Palavras_Files_/4805db8b.Audio.194925
246f5bc1,Garfo,Palavras_Images/246f5bc1.Imagem.041633.png,Palavras_Files_/246f5bc1.Audio.195817
98dff104,Garrafa,Palavras_Images/98dff104.Imagem.015559.png,Palavras_Files_/98dff104.Audio.204933
eb2dfaee,Sofá,Palavras_Images/eb2dfaee.Imagem.012738.png,Palavras_Files_/eb2dfaee.Audio.001341
2f2f6940,Alfafa,Palavras_Images/2f2f6940.Imagem.202259.png,Palavras_Files_/2f2f6940.Audio.183506
9931d55e,Trufa,Palavras_Images/9931d55e.Imagem.013117.png,Palavras_Files_/9931d55e.Audio.002138
3449f4c8,Tarefa,Palavras_Images/3449f4c8.Imagem.154842.png,Palavras_Files_/3449f4c8.Audio.002152
d43764bf,Girafa,Palavras_Images/d43764bf.Imagem.231028.png,Palavras_Files_/d43764bf.Audio.211103
096ad43e,Farofa,Palavras_Images/096ad43e.Imagem.153225.png,Palavras_Files_/096ad43e.Audio.202304
9e939fa0,Chefe,Palavras_Images/9e939fa0.Imagem.201834.png,Palavras_Files_/9e939fa0.Audio.005321
c81d93f3,Bife,Palavras_Images/c81d93f3.Imagem.202512.png,Palavras_Files_/c81d93f3.Audio.182926
565d2c68,Autógrafo,,Palavras_Files_/565d2c68.Audio.023946
d019042a,Coreografia,Palavras_Images/d019042a.Imagem.204820.png,Palavras_Files_/d019042a.Audio.184336
032398fa,Afofar,Palavras_Images/032398fa.Imagem.022126.png,Palavras_Files_/032398fa.Audio.051740
fafd19ae,Estufar,Palavras_Images/fafd19ae.Imagem.015613.png,Palavras_Files_/fafd19ae.Audio.201154
47594ea1,Borrifar,Palavras_Images/47594ea1.Imagem.203309.png,Palavras_Files_/47594ea1.Audio.182955
256a6868,Rosbife,Palavras_Images/256a6868.Imagem.035617.png,Palavras_Files_/256a6868.Audio.224153
29c75f7d,Rufe,,Palavras_Files_/29c75f7d.Audio.224234
36ae40be,Bufe,,Palavras_Files_/36ae40be.Audio.183016
f1bc79c9,Pifou,Palavras_Images/f1bc79c9.Imagem.230905.png,Palavras_Files_/f1bc79c9.Audio.041405
cdc7ec1e,Fofo,,Palavras_Files_/cdc7ec1e.Audio.202324
fad47439,Bafo,,Palavras_Files_/fad47439.Audio.183039
b4ad0a33,Tofu,Palavras_Images/b4ad0a33.Imagem.084421.png,Palavras_Files_/b4ad0a33.Audio.002205
8b11093f,Fada,,Palavras_Files_/8b11093f.Audio.202342
254a0909,Faca,,Palavras_Files_/254a0909.Audio.202357
8f80af90,Festa,Palavras_Images/8f80af90.Imagem.041613.png,Palavras_Files_/8f80af90.Audio.202414
06d392cb,Filha,,Palavras_Files_/06d392cb.Audio.202431
316dc522,Filhotes,,Palavras_Files_/316dc522.Audio.202458
b9e4964e,Foguete,,Palavras_Files_/b9e4964e.Audio.202518
f48fcf43,Foca,,Palavras_Files_/f48fcf43.Audio.202535
97b42398,Fita,Palavras_Images/97b42398.Imagem.215003.png,Palavras_Files_/97b42398.Audio.202556
0788fb30,Flor,Palavras_Images/0788fb30.Imagem.223410.png,Palavras_Files_/0788fb30.Audio.202615
587b8a99,Formiga,Palavras_Images/587b8a99.Imagem.223643.png,Palavras_Files_/587b8a99.Audio.202631
c0f7de5a,Família,Palavras_Images/c0f7de5a.Imagem.233820.png,Palavras_Files_/c0f7de5a.Audio.202647
87ff01af,Fogão,Palavras_Images/87ff01af.Imagem.203201.png,Palavras_Files_/87ff01af.Audio.202704
c417d37f,Feijão,Palavras_Images/c417d37f.Imagem.225146.png,Palavras_Files_/c417d37f.Audio.202722
29336b23,Ferro,Palavras_Images/29336b23.Imagem.223759.png,Palavras_Files_/29336b23.Audio.202736
1c67e79b,Figos,Palavras_Images/1c67e79b.Imagem.190604.png,Palavras_Files_/1c67e79b.Audio.202754
37d1a7b9,Fusca,,Palavras_Files_/37d1a7b9.Audio.202810
dd008fa3,Fechar,,Palavras_Files_/dd008fa3.Audio.202827
2e728b53,Fogo,Palavras_Images/2e728b53.Imagem.213004.png,Palavras_Files_/2e728b53.Audio.202844
4294acf9,Foto,Palavras_Images/4294acf9.Imagem.210135.png,Palavras_Files_/4294acf9.Audio.202912
2717fff0,Fera,,Palavras_Files_/2717fff0.Audio.202930
2cbe8b43,Figurinhas,,Palavras_Files_/2cbe8b43.Audio.202945
8a5e6dcb,Fivela,,Palavras_Files_/8a5e6dcb.Audio.203034
3f29aff9,Fumaça,Palavras_Images/3f29aff9.Imagem.015512.png,Palavras_Files_/3f29aff9.Audio.203059
e3065507,Fome,,Palavras_Files_/e3065507.Audio.203126
cf4e5a50,Folia,,Palavras_Files_/cf4e5a50.Audio.203156
d6effd2a,Fantasia,,Palavras_Files_/d6effd2a.Audio.203230
ca040125,Fazenda,Palavras_Images/ca040125.Imagem.140922.png,Palavras_Files_/ca040125.Audio.203244
4508f9eb,Fotógrafa,,Palavras_Files_/4508f9eb.Audio.203314
d833933b,Fórmula,,Palavras_Files_/d833933b.Audio.203335
997f7d15,Afilhados,,Palavras_Files_/997f7d15.Audio.051833
2059bcf1,Elefante,Palavras_Images/2059bcf1.Imagem.202437.png,Palavras_Files_/2059bcf1.Audio.201212
6dccf589,Defesa,,Palavras_Files_/6dccf589.Audio.194944
